Cluster,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Class,Diam,Dist,E(B-V),Age,pmRA,e_pmRA,pmDE,e_pmDE,Nc,r_pmRA,RV,e_RV,o_RV,r_RV,[Fe/H],e_[Fe/H],o_[Fe/H],TrType
Collinder 140,7,24,27,-,31,51,0,,60.0,405,0.03,7.548,-7.33,0.63,2.7,0.63,10,TYC,19.34,2.18,4,D14,-0.1,0.15,0,
Majaess 89,7,24,38,-,24,34,59,IR,5.0,0,,,2.58,1.64,-16.9,0.18,1,D14,,,0,,,,0,
Ruprecht 18,7,24,39,-,26,13,0,,7.0,1056,0.7,7.648,-1.45,0.25,2.43,0.28,137,D14,,,0,,-0.01,0.09,1,
NGC 2383,7,24,40,-,20,56,54,,5.0,3400,0.33,8.45,-2.32,0.23,-0.33,0.39,181,D14,57.37,0.24,1,MMU,,,0,
Haffner 9,7,24,42,-,17,0,10,,4.0,1900,0.54,8.15,1.36,0.26,2.09,0.15,66,D14,,,0,,,,0,2-2-m-*
Majaess 90,7,24,45,-,24,29,34,IR,5.0,0,,,-6.54,0.26,22.43,2.57,3,D14,,,0,,,,0,
NGC 2384,7,25,10,-,21,1,18,,5.0,3070,0.31,7.15,-1.29,0.2,1.37,0.45,106,D14,53.25,2.92,5,D14,,,0,
Ruprecht 19,7,25,51,-,21,35,0,d,5.0,1797,0.208,8.0,-1.84,0.39,-0.68,0.47,120,D14,,,0,,,,0,4-2-p-*
FSR 1270,7,26,5,-,21,11,3,IR,7.9,1607,0.312,8.7,-0.47,0.21,0.93,0.23,246,D14,,,0,,,,0,
Waterloo 7,7,26,8,-,15,5,36,,2.6,2800,0.42,,-1.79,0.38,2.63,0.38,119,K14,,,0,,,,0,
FSR 1253,7,26,17,-,18,25,55,IR,6.0,2640,0.62,8.4,-0.02,0.01,0.65,0.13,149,D14,,,0,,,,0,
Melotte 66,7,26,23,-,47,40,0,,14.0,4700,0.15,9.53,-3.09,0.2,3.26,0.19,284,D14,22.1,0.9,36,C14,-0.33,0.03,6,
Trumpler 6,7,26,25,-,24,12,0,,6.0,2083,0.62,8.65,-3.68,0.22,3.76,0.33,77,D14,,,0,,,,0,3-2-p-*
Ruprecht 20,7,26,43,-,28,49,0,,5.0,1208,0.1,8.5,-0.67,0.25,1.0,0.31,112,D14,,,0,,-0.29,0.04,4,
Ruprecht 21,7,26,56,-,31,11,0,nf,11.0,3894,0.77,8.65,-2.28,0.14,4.03,0.17,299,D14,,,0,,,,0,3-1-m-*
DC 3,7,27,0,-,37,31,16,,0.7,4317,0.541,9.26,-1.61,1.35,4.99,1.35,17,K14,,,0,,,,0,
ASCC 38,7,27,11,-,5,33,0,,31.2,500,0.07,8.6,-3.46,0.04,-0.32,0.03,1450,D14,,,0,,,,0,
NGC 2395,7,27,12,+,13,36,30,,14.0,512,0.12,9.07,-3.36,1.3,-6.02,1.3,9,TYC,,,0,,,,0,
Trumpler 7,7,27,22,-,23,57,0,,5.0,1474,0.266,7.43,-2.99,0.31,2.64,0.46,93,D14,32.87,10.0,3,D14,,,0,
NGC 2396,7,28,0,-,11,43,0,,10.0,588,0.05,,-3.19,0.05,0.29,0.03,232,D14,17.7,0.9,1,K07,,,0,4-1-p-*
FSR 1275,7,28,6,-,21,47,46,IR,4.0,3750,0.6,9.4,-1.79,0.34,0.06,0.26,56,D14,,,0,,,,0,
Czernik 29,7,28,18,-,15,24,0,,5.0,3000,0.47,8.45,-3.04,0.3,2.18,0.01,88,D14,,,0,,,,0,
Haffner 10,7,28,36,-,15,23,0,,3.0,3700,0.55,9.3,-1.04,0.65,-0.36,0.01,54,D14,,,0,,,,0,
NGC 2394,7,28,36,+,7,5,12,,8.0,940,0.13,8.95,-0.27,0.43,-0.83,0.39,82,D14,,,0,,,,0,
ESO 559 13,7,28,42,-,20,49,30,,10.0,2749,0.25,9.0,-2.03,0.16,0.35,0.2,283,D14,,,0,,,,0,3-3-m-*
Haffner 24,7,28,56,-,18,19,0,,2.0,2936,0.48,7.9,-2.52,0.45,6.63,0.45,60,K14,,,0,,,,0,
Ruprecht 22,7,29,18,-,29,11,0,d,3.0,1609,0.208,9.03,-2.52,0.52,3.49,0.61,39,D14,,,0,,,,0,4-2-p-*
NGC 2401,7,29,24,-,13,58,0,,2.0,5888,0.35,7.8,2.01,0.59,4.43,0.59,61,K14,,,0,,,,0,
Mayer 3,7,30,6,-,18,32,0,,4.0,2494,1.0,7.1,0.55,0.08,2.06,0.39,38,D14,,,0,,,,0,4-1-p-n
Dolidze 26,7,30,6,+,11,54,0,nf,23.0,2070,0.375,8.475,-0.02,0.21,-0.62,0.15,408,D14,,,0,,,,0,4-1-p-*
Waterloo 8,7,30,12,-,15,50,0,,12.0,0,,,-3.21,0.11,0.64,0.19,212,D14,,,0,,,,0,
Ruprecht 23,7,30,39,-,23,23,36,,12.0,3060,0.54,8.78,-2.75,0.12,2.68,0.16,301,D14,,,0,,,,0,3-2-p-*
Ivanov 7,7,30,40,-,15,18,0,,2.8,2299,0.37,8.55,-7.27,0.54,4.74,0.54,80,K14,,,0,,,,0,
Bochum 5,7,31,0,-,16,56,0,,15.0,872,0.194,7.545,-2.67,0.84,1.43,0.75,2,BDW,16.0,2.5,1,DL03,-0.171,0.096,4,
FSR 1234,7,31,10,-,15,25,46,IR,4.8,1706,0.437,8.44,-2.04,0.01,0.98,0.26,75,D14,,,0,,,,0,
Czernik 30,7,31,18,-,9,58,0,,3.0,9120,0.24,9.4,-1.43,0.75,-1.94,0.35,37,D14,79.9,1.5,17,HFSB,-0.21,0.15,9,4-2-p-n
Bochum 4,7,31,37,-,17,11,36,,5.0,2291,0.63,7.0,-2.4,0.38,0.11,0.28,31,D14,16.0,3.7,1,D14,,,0,
FSR 1227,7,31,53,-,13,51,36,IR,0.4,4500,0.416,8.975,-1.51,0.64,4.26,0.64,47,K14,,,0,,,,0,
Ruprecht 24,7,31,53,-,12,45,49,,5.0,1983,0.35,7.78,0.42,0.18,0.97,0.15,80,D14,,,0,,,,0,4-1-p-*
Bochum 6,7,32,0,-,19,25,0,,10.0,3981,0.7,7.0,-1.19,0.14,2.37,0.19,217,D14,,,0,,,,0,
ASCC 39,7,33,0,-,22,57,0,,36.0,1500,0.0,8.71,-2.22,0.08,0.75,0.1,1501,D14,,,0,,,,0,
NGC 2413,7,33,7,-,13,24,0,,24.0,440,0.04,8.46,-2.35,0.05,2.13,0.05,1166,D14,,,0,,,,0,
NGC 2414,7,33,12,-,15,27,12,,5.0,3455,0.508,6.976,-1.87,0.11,-0.26,0.14,153,D14,67.14,3.96,2,D14,,,0,
ESO 429 02,7,33,24,-,28,11,15,p,3.0,1670,0.9,8.6,-1.52,0.21,-0.56,0.5,45,D14,,,0,,,,0,4-3-p-*
Ruprecht 40,7,33,28,-,20,31,0,nf,2.0,1836,0.25,8.265,-2.87,0.8,1.66,0.8,22,K14,,,0,,,,0,2-2-m-*
ASCC 40,7,33,36,-,13,45,36,,21.6,700,0.11,8.58,-2.47,0.06,1.72,0.05,913,D14,,,0,,,,0,
FSR 1243,7,34,33,-,15,58,22,IR,0.8,4336,0.666,6.7,-1.02,0.31,0.03,0.31,133,K14,,,0,,,,0,
Teutsch 61,7,34,40,-,19,47,23,,3.0,1920,0.55,6.95,-0.9,0.16,1.94,0.24,51,D14,,,0,,,,0,
Haffner 11,7,35,30,-,27,41,59,,7.0,5800,0.5,8.9,-1.78,0.23,2.28,0.33,71,D14,,,0,,,,0,2-2-m-*
NGC 2421,7,36,13,-,20,36,42,,6.0,2200,0.42,7.9,-3.07,0.11,2.41,0.15,197,D14,,,0,,,,0,
NGC 2422,7,36,35,-,14,29,0,,25.0,490,0.07,7.861,-7.15,0.33,1.1,0.33,23,TYC,25.92,3.31,13,D14,0.11,0.1,11,
Ruprecht 25,7,36,47,-,23,23,0,d,2.0,3585,0.708,8.895,-3.68,0.96,2.44,0.96,47,K14,,,0,,,,0,2-2-p-*
Czernik 31,7,36,59,-,20,30,35,,6.0,3200,0.48,8.2,-2.15,0.15,2.16,0.26,102,D14,,,0,,,,0,3-2-p-*
ESO 429 05,7,37,2,-,32,11,54,,1.2,3596,0.81,9.1,1.7,0.93,4.45,1.53,11,D14,,,0,,,,0,4-2-m-*
NGC 2423,7,37,6,-,13,52,18,,12.0,766,0.097,8.867,-1.34,0.1,-0.91,0.18,417,D14,18.47,0.11,9,MMU,0.14,0.06,3,
Ruprecht 26,7,37,11,-,15,39,47,,11.0,1820,0.35,8.6,-1.51,0.12,1.25,0.13,330,D14,15.0,3.7,1,D14,0.313,0.11,1,4-2-p-*
Alessi 18,7,37,11,-,26,23,18,,1.4,6287,0.645,9.01,-1.39,1.37,-0.34,1.97,24,D14,,,0,,,,0,
Melotte 71,7,37,30,-,12,4,0,,7.0,3154,0.113,8.371,-5.07,0.12,5.76,0.23,265,D14,0.55,0.63,1,D14,-0.32,0.16,2,
Ruprecht 27,7,37,41,-,26,31,46,,11.0,1490,0.03,8.95,-1.7,0.11,1.73,0.12,293,D14,10.9,1.2,1,K07,,,0,4-2-m-*
BH 4,7,37,44,-,36,4,0,,2.0,0,,,,,,,0,,,,0,,,,0,2-2-p-*
NGC 2425,7,38,17,-,14,52,42,,8.0,3550,0.21,9.34,-2.7,0.14,1.0,0.21,242,D14,102.9,1.2,10,JPF,-0.15,0.09,4,
NGC 2420,7,38,23,+,21,34,24,,5.0,2480,0.04,9.3,-1.76,0.01,-2.38,0.01,145,D14,73.57,0.15,18,MMU,-0.38,0.07,20,
Melotte 72,7,38,24,-,10,41,0,,5.0,3981,0.2,8.78,-3.86,0.01,-0.26,0.18,124,D14,,,0,,-0.38,,0,3-1-m-*
Arp Madore 2,7,38,46,-,33,50,36,,2.0,13341,0.57,9.335,0.52,1.02,7.96,1.02,19,K14,,,0,,,,0,
Collinder 467,7,39,18,-,10,33,0,nf,2.0,0,,,,,,,0,,,,0,,,,0,
NGC 2428,7,39,21,-,16,31,42,n,12.0,2100,0.05,8.68,-3.05,0.09,1.9,0.09,412,D14,47.35,1.85,7,D14,-0.145,0.095,2,
Ruprecht 28,7,39,36,-,30,56,0,nf,5.0,4712,0.416,8.76,-2.84,0.13,2.31,0.01,83,D14,,,0,,,,0,4-1-p-*
NGC 2430,7,39,41,-,16,17,48,n,15.0,650,0.17,8.68,-2.35,0.07,1.35,0.1,529,D14,34.14,1.46,6,D14,0.13,0.151,2,
ESO 493 03,7,39,45,-,27,17,36,,7.0,1400,0.1,8.6,-0.72,0.4,2.15,0.57,96,D14,20.77,22.48,1,D14,,,0,3-3-m-*
Bochum 15,7,40,6,-,33,32,0,,3.0,2806,0.576,6.742,-0.87,0.11,3.09,0.31,29,D14,,,0,,,,0,
NGC 2408,7,40,9,+,71,39,18,p,28.0,1133,0.03,9.48,0.76,0.29,-3.61,0.24,189,D14,,,0,,,,0,
Haffner 13,7,40,30,-,30,5,0,,14.0,714,0.05,,-2.52,0.16,4.34,0.14,416,D14,68.0,5.8,1,K07,,,0,3-3-p-*
NGC 2439,7,40,45,-,31,41,36,,9.0,1300,0.37,7.0,-2.22,0.46,3.13,0.56,3,BDW,66.0,0.13,2,MMU,,,0,
NGC 2432,7,40,53,-,19,4,36,,6.0,1900,0.23,8.7,-0.85,0.2,1.42,0.15,165,D14,14.4,0.0,1,DL03,,,0,
ESO 429 13,7,41,8,-,30,44,18,,4.0,1606,0.437,9.02,-3.34,0.35,3.66,0.36,56,D14,,,0,,,,0,4-2-m-*
Ruprecht 29,7,41,18,-,24,21,0,nf,5.0,2312,0.094,8.6,-3.77,0.3,4.18,0.01,63,D14,,,0,,,,0,4-2-p-*
Ruprecht 151,7,41,18,-,16,15,0,d,7.0,2100,0.2,8.49,-4.11,0.18,2.55,0.29,165,D14,26.02,4.33,4,D14,-0.102,0.077,7,4-2-m-*
NGC 2437,7,41,46,-,14,48,36,,20.0,1510,0.1,8.4,-3.66,0.05,0.28,0.05,1287,D14,49.2,0.36,3,MMU,0.059,0.09,1,
Ruprecht 31,7,42,58,-,35,35,50,cr,3.0,930,0.06,9.0,-3.87,0.48,4.95,0.88,34,D14,,,0,,,,0,3-2-p-*
NGC 2451A,7,43,12,-,38,24,0,,120.0,189,0.01,7.78,-22.93,0.48,13.39,0.46,5,KHA,22.7,2.3,0,HRHW,0.0,,0,
ESO 368 11,7,44,22,-,34,37,7,,6.0,1490,0.06,9.0,-0.59,0.09,3.25,0.25,84,D14,,,0,,,,0,3-3-m-*
NGC 2451B,7,44,27,-,37,40,0,,108.0,302,0.055,7.648,-10.07,0.29,5.45,0.38,5,PLA,14.0,2.5,0,HRHW,-0.45,,0,
NGC 2447,7,44,30,-,23,51,24,,10.0,1037,0.046,8.588,-3.24,0.16,3.29,0.16,353,D14,22.08,0.18,12,MMU,-0.1,0.03,3,
NGC 2448,7,44,34,-,24,40,48,n,20.0,1040,0.02,7.19,-1.43,0.11,2.93,0.09,659,D14,15.0,3.7,1,D14,,,0,
Haffner 14,7,44,51,-,28,22,0,,10.0,3483,0.6,8.35,-2.74,0.14,4.43,0.2,242,D14,73.5,0.6,1,D14,,,0,3-2-m-*
Ruprecht 32,7,45,10,-,25,32,0,,5.0,5346,0.5,7.08,-1.41,0.12,3.45,0.3,88,D14,83.0,4.8,1,D14,,,0,
Haffner 15,7,45,32,-,32,51,0,,4.0,3500,1.05,7.3,2.08,0.5,3.9,0.44,62,D14,,,0,,,,0,
ESO 258 01,7,45,47,-,46,42,48,d,10.0,1031,0.729,8.705,-2.61,1.09,3.29,1.09,10,K14,,,0,,,,0,
Ruprecht 34,7,45,56,-,20,23,24,,9.0,2630,0.0,9.0,-3.01,0.11,0.82,0.19,209,D14,,,0,,,,0,2-3-m-*
Ruprecht 33,7,45,58,-,21,57,0,d,9.0,1558,0.115,8.81,-3.67,0.16,-1.15,0.23,236,D14,,,0,,,,0,4-1-p-*
Ruprecht 35,7,46,14,-,31,16,48,,6.0,3910,0.45,8.6,-1.66,0.33,3.24,0.19,84,D14,,,0,,,,0,2-2-p-*
Berkeley 39,7,46,42,-,4,36,0,,7.0,4780,0.12,9.9,-2.97,0.11,-2.57,0.39,92,D14,57.8,2.3,67,BG12,-0.2,0.04,28,
Herschel 1,7,47,2,+,0,1,6,,43.2,370,0.02,8.44,1.93,0.29,-3.93,0.21,11,K05,,,0,,,,0,
ESO 368 14,7,47,3,-,32,58,6,,4.0,4230,1.04,8.8,-3.35,0.58,1.34,0.68,43,D14,,,0,,,,0,3-3-m-*
FSR 1343,7,47,3,-,32,58,12,IR,1.8,0,,,,,,,0,,,,0,,,,0,
NGC 2453,7,47,35,-,27,11,42,,4.0,2150,0.446,7.187,-2.84,0.66,2.56,0.44,97,D14,33.94,0.52,1,MMU,,,0,
Ruprecht 36,7,48,23,-,26,18,0,,5.0,1681,0.166,7.606,-3.67,0.25,2.29,0.29,94,D14,,,0,,,,0,
Teutsch 25,7,48,27,-,27,54,51,,5.0,1980,0.57,9.0,-0.87,0.26,3.36,0.31,92,D14,,,0,,,,0,
AH03 J0748 26.9,7,48,40,-,26,56,48,,4.0,4440,0.39,7.8,-1.03,0.41,3.64,0.62,78,D14,,,0,,-0.1,0.12,0,
FSR 1315,7,48,42,-,26,59,5,IR,2.5,2255,0.729,8.7,-0.55,0.63,2.05,0.63,45,K14,,,0,,,,0,
NGC 2455,7,49,1,-,21,18,6,,8.0,2650,0.54,8.26,-5.31,0.15,-0.41,0.24,207,D14,,,0,,,,0,3-2-p-*
FSR 1308,7,49,23,-,25,34,7,IR,1.8,0,,,,,,,0,,,,0,,,,0,
ESO 311 14,7,49,24,-,42,42,18,,6.0,1613,0.1,9.0,-5.86,0.35,3.15,0.54,88,D14,,,0,,,,0,
Ruprecht 37,7,49,48,-,17,14,47,,2.8,5250,0.0,9.48,-0.6,1.15,4.05,1.15,23,K14,,,0,,,,0,3-2-p-*
Haffner 16,7,50,20,-,25,28,0,,5.0,3165,0.175,7.078,-3.4,0.23,2.03,0.29,121,D14,65.8,3.7,1,K07,-0.111,0.09,1,
Ruprecht 38,7,50,30,-,20,11,0,d,2.0,2928,0.521,8.73,-6.41,0.35,3.96,0.35,64,K14,,,0,,,,0,3-2-p-*
Czernik 32,7,50,30,-,29,50,45,,3.0,4100,0.85,9.0,-2.18,0.23,2.64,0.25,39,D14,,,0,,-0.38,0.25,0,2-1-m-*
FSR 1294,7,51,7,-,22,7,50,IR,0.7,2121,0.208,9.215,-4.24,0.67,0.76,0.67,38,K14,,,0,,,,0,
Haffner 17,7,51,37,-,31,49,0,,2.0,2880,1.26,7.7,3.61,0.52,-1.92,0.52,96,K14,,,0,,,,0,
SAI 81,7,52,7,-,28,7,21,,7.0,2770,0.4,9.2,-2.81,0.18,1.47,0.19,182,D14,,,0,,,,0,
NGC 2477,7,52,10,-,38,31,48,,15.0,1341,0.31,8.85,-0.58,0.14,1.81,0.13,829,D14,7.26,0.12,64,MMU,0.07,0.03,6,
SAI 82,7,52,14,-,33,2,27,,3.0,1150,0.39,8.65,0.42,0.06,3.74,1.19,20,D14,,,0,,,,0,
Ruprecht 39,7,52,19,-,22,27,0,nf,2.0,4591,0.458,9.005,-1.03,0.43,1.21,0.43,31,K14,,,0,,,,0,3-2-p-*
NGC 2467,7,52,26,-,26,26,12,,14.0,1355,0.338,7.103,-3.65,0.13,2.68,0.14,571,D14,58.24,7.05,4,D14,,,0,
ESO 123 26,7,52,30,-,60,19,48,,16.0,550,0.13,8.33,-2.8,0.2,6.39,0.37,204,D14,,,0,,,,0,4-3-m-*
Haffner 18,7,52,39,-,26,23,0,,5.0,6028,0.611,6.893,-3.98,0.3,2.73,0.32,123,D14,,,0,,,,0,
Haffner 19,7,52,47,-,26,17,0,,2.0,6400,0.38,6.65,-2.02,0.17,1.55,0.14,110,LOK,68.0,6.0,0,RGDZ,,,0,
Alessi Teutsch 3,7,53,1,-,53,2,42,,43.2,800,0.1,8.57,-4.23,0.09,5.11,0.14,1201,D14,,,0,,,,0,
ASCC 43,7,53,6,-,28,10,12,,42.0,1000,0.1,8.28,-4.4,0.37,0.47,0.47,19,K05,90.5,2.7,1,D14,,,0,
Ruprecht 41,7,53,48,-,26,57,40,,7.0,3150,0.13,8.84,-2.23,0.18,2.92,0.28,179,D14,,,0,,,,0,4-2-p-*
Ruprecht 152,7,54,28,-,38,14,14,,7.0,8020,0.67,8.78,-1.74,0.32,0.46,0.54,65,D14,,,0,,,,0,2-2-m-*
NGC 2479,7,55,6,-,17,42,36,,10.0,1585,0.05,9.0,-2.94,0.18,-1.33,0.17,232,D14,38.17,0.3,2,K14,,,0,3-1-m-*
Waterloo 3,7,55,6,-,25,21,54,,2.0,5200,0.34,,-1.18,0.64,3.41,0.64,58,K14,,,0,,,,0,2-2-p-n
NGC 2482,7,55,12,-,24,15,30,,10.0,1194,0.094,8.65,-3.29,0.17,3.29,0.15,250,D14,38.17,0.3,2,MMU,-0.07,0.04,1,
NGC 2483,7,55,39,-,27,53,42,,7.0,1659,0.303,7.089,-2.01,0.24,0.55,0.22,144,D14,121.51,20.03,1,D14,,,0,
Trumpler 9,7,55,40,-,25,53,0,,5.0,2289,0.248,8.001,-0.68,0.58,2.46,0.42,118,D14,,,0,,,,0,
NGC 2489,7,56,15,-,30,3,48,,6.0,3957,0.374,7.264,-4.83,2.85,5.45,3.03,1,BDW,38.2,0.12,6,MMU,0.08,0.01,2,
Haffner 20,7,56,15,-,30,22,0,,3.0,3117,0.569,8.121,-0.61,0.55,-1.83,0.52,60,D14,,,0,,,,0,
Ruprecht 42,7,57,36,-,25,55,0,,4.0,5457,0.388,8.6,-2.67,0.39,3.41,0.05,48,D14,,,0,,0.33,0.2,0,3-2-p-*
Turner 12,7,58,0,-,29,17,6,d,,4499,0.729,8.49,2.47,0.67,2.2,0.67,40,K14,,,0,,,,0,
NGC 2516,7,58,4,-,60,45,12,,30.0,409,0.101,8.052,-5.43,0.12,8.41,0.19,770,D14,23.08,0.25,4,MMU,0.06,0.03,2,
Kronberger 85,7,58,22,-,34,46,9,,2.0,8500,1.17,8.8,-0.83,0.89,3.66,0.89,39,K14,,,0,,,,0,
Ruprecht 43,7,58,46,-,28,48,40,nf,12.0,1300,0.27,8.47,-1.82,0.11,0.4,0.15,325,D14,113.37,5.77,1,D14,,,0,4-1-p-*
Ruprecht 44,7,58,51,-,28,35,0,,10.0,4730,0.619,6.941,-2.17,0.14,0.17,0.11,278,D14,93.7,30.49,1,D14,,,0,
ESO 494 09,7,59,16,-,27,35,6,,3.0,1212,0.42,7.8,-1.78,0.25,3.5,0.63,54,D14,,,0,,,,0,3-3-m-*
ESO 561 05,7,59,19,-,22,41,30,,7.0,3677,0.37,8.35,-3.58,0.14,3.85,0.26,118,D14,,,0,,,,0,
Ruprecht 45,7,59,36,-,16,18,0,d,9.0,1888,0.062,9.3,-6.14,0.3,0.13,0.33,193,D14,,,0,,,,0,4-2-p-*
NGC 2506,8,0,1,-,10,46,12,,12.0,3750,0.1,9.0,-1.87,0.11,1.96,0.0,574,D14,83.25,0.29,30,MMU,-0.2,0.02,3,
Ruprecht 153,8,0,19,-,30,17,0,,3.0,1848,0.206,8.65,-2.4,0.19,-0.39,0.35,27,D14,,,0,,0.1,0.1,0,4-2-p-e
NGC 2509,8,0,48,-,19,3,6,,6.0,912,0.15,9.9,-2.64,0.25,1.81,0.27,185,D14,,,0,,,,0,1-1-m-*
Haffner 21,8,1,9,-,27,13,0,,3.0,2951,0.106,7.92,-5.01,0.46,3.38,0.27,71,D14,,,0,,,,0,
ESO 311 21,8,1,42,-,41,35,57,,5.0,2330,0.49,10.1,-14.99,0.1,10.24,0.69,4,D14,,,0,,,,0,
Ruprecht 154,8,1,46,-,44,25,0,,3.0,1783,0.087,9.35,-5.16,0.93,2.67,0.75,27,D14,,,0,,0.15,0.08,0,3-2-p-*
Alessi 34,8,1,48,-,50,33,30,,48.0,1100,0.18,7.89,-5.62,0.57,6.25,0.36,12,K05,17.8,2.8,2,K07,,,0,
Ruprecht 47,8,2,19,-,31,4,0,,4.0,3006,0.28,7.89,-1.68,0.25,-0.45,0.12,106,D14,59.7,0.0,1,K07,,,0,
ESO 430 09,8,2,24,-,29,46,36,d,0.8,2273,0.208,8.5,-1.57,0.9,1.39,0.9,12,K14,,,0,,,,0,
Ruprecht 48,8,2,43,-,32,3,2,,3.0,3030,0.29,8.6,-2.34,0.35,0.74,0.29,74,D14,,,0,,,,0,2-2-p-*
Collinder 173,8,2,49,-,46,23,0,o,370.0,421,0.05,7.142,,,,,0,,20.39,1.41,47,D14,-0.06,0.2,0,
Ruprecht 49,8,3,15,-,26,46,0,,2.0,1823,0.259,7.93,-4.74,0.92,1.01,0.76,20,LOK,,,0,,,,0,
Ruprecht 50,8,3,27,-,30,52,0,d,3.0,1834,0.104,8.775,-1.65,0.38,-0.12,0.01,76,D14,,,0,,,,0,3-2-p-*
Ruprecht 51,8,3,37,-,30,39,0,,4.0,2514,0.189,9.0,-2.81,0.22,0.16,0.28,95,D14,,,0,,0.04,0.08,0,4-1-m-*
ESO 430 14,8,3,37,-,31,25,36,d,5.0,2860,0.833,7.21,-1.08,0.01,-0.71,0.01,107,D14,,,0,,,,0,
NGC 2527,8,4,58,-,28,8,48,,10.0,601,0.038,8.649,-1.95,0.2,0.65,0.24,297,D14,39.6,0.06,2,MMU,-0.1,0.04,2,
Ruprecht 155,8,5,5,-,31,49,0,nf,3.0,2311,0.562,8.57,-2.5,0.15,-0.63,0.29,58,D14,,,0,,,,0,4-1-p-*
Ruprecht 52,8,5,9,-,31,58,0,,3.0,2177,0.87,8.2,-3.01,0.23,-0.23,0.44,52,D14,,,0,,,,0,3-2-p-*
ESO 430 18,8,6,52,-,30,50,12,nf,12.0,830,0.0,9.05,-2.56,0.13,0.86,0.13,395,D14,,,0,,,,0,
NGC 2533,8,7,4,-,29,53,0,,5.0,1700,0.14,8.84,-1.62,0.26,2.02,0.25,135,D14,35.22,0.32,3,MMU,,,0,
BH 19,8,7,5,-,32,21,0,,3.0,3050,0.71,8.45,-3.48,0.32,-0.83,0.88,29,D14,,,0,,,,0,3-2-p-*
Teutsch 50,8,7,9,-,36,4,8,,4.4,3240,0.86,9.48,-13.42,0.2,12.82,0.31,3,D14,,,0,,,,0,
SAI 86,8,8,15,-,36,36,33,,6.0,3030,0.69,8.6,-1.24,0.26,1.43,0.24,126,D14,,,0,,,,0,
Pozzo 1,8,9,32,-,47,20,12,o,18.0,336,,,-2.14,0.16,3.76,0.22,559,D14,,,0,,,,0,
NGC 2547,8,10,9,-,49,12,54,,25.0,361,0.186,7.585,-7.71,0.45,3.8,0.45,19,TYC,15.65,1.26,6,FM09,-0.16,0.09,1,
NGC 2539,8,10,37,-,12,49,6,,9.0,1363,0.082,8.57,-3.2,0.16,-1.24,0.18,186,D14,28.89,0.21,11,MMU,0.13,0.03,3,
FSR 1363,8,10,39,-,34,37,19,IR,2.5,2391,0.333,8.5,-4.55,0.92,9.4,0.92,42,K14,,,0,,,,0,
Ruprecht 53,8,10,54,-,26,0,0,,5.0,1700,0.11,8.59,-2.0,0.23,4.52,0.12,69,D14,,,0,,,,0,4-2-p-*
FSR 1380,8,11,5,-,39,59,51,IR,4.0,2290,1.28,8.65,-2.47,0.47,4.5,0.8,50,D14,,,0,,,,0,
Ruprecht 54,8,11,21,-,31,56,50,,6.0,5470,0.13,8.9,-5.65,0.26,0.65,0.31,133,D14,,,0,,,,0,2-2-p-*
NGC 2546,8,12,15,-,37,35,42,,70.0,919,0.134,7.874,-3.99,0.25,3.5,0.25,80,TYC,15.24,0.48,2,MMU,0.12,0.13,2,
Ruprecht 55,8,12,27,-,32,35,0,,5.0,4600,0.45,7.0,-2.37,0.27,0.83,0.47,72,D14,94.2,10.0,2,D14,,,0,
Haffner 22,8,12,27,-,27,54,0,,6.0,3050,0.2,9.4,-1.95,0.15,2.67,0.13,154,D14,,,0,,,,0,3-2-m-*
Ruprecht 56,8,12,33,-,40,28,0,,39.0,410,0.12,8.7,-2.48,0.09,4.58,0.11,1569,D14,,,0,,,,0,3-2-m-*
SAI 88,8,12,58,-,41,53,1,,2.0,8240,0.92,9.0,-3.95,0.95,4.95,0.95,51,K14,,,0,,,,0,
NGC 2548,8,13,43,-,5,45,0,,30.0,770,0.03,8.6,-3.73,0.12,2.13,0.02,522,D14,7.7,0.18,4,MMU,0.08,0.02,3,
BH 23,8,14,24,-,36,23,0,,39.0,480,0.06,8.4,-7.4,0.43,5.1,0.43,30,TYC,18.0,3.7,2,D14,,,0,3-2-p-*
Ruprecht 58,8,14,47,-,31,57,0,,5.0,2229,0.06,8.85,-1.38,0.24,-0.21,0.26,125,D14,,,0,,,,0,4-2-p-*
Ruprecht 57,8,15,5,-,26,58,0,,5.0,1764,0.208,8.975,-0.86,0.21,4.19,0.24,102,D14,,,0,,,,0,4-2-p-*
Haffner 26,8,15,39,-,30,50,0,d,5.0,1000,0.08,7.47,0.42,0.36,-0.99,0.39,115,D14,62.38,12.08,1,RAVE,,,0,3-2-p-*
ASCC 45,8,15,50,-,35,39,0,,24.0,3000,0.6,7.12,-2.84,0.1,-1.34,0.1,1210,D14,43.0,6.0,1,D14,,,0,
ASCC 46,8,16,34,-,48,30,36,,48.0,900,0.1,7.71,-5.51,0.42,6.75,0.4,15,K05,,,0,,,,0,
Majaess 95,8,17,53,-,35,52,48,IR,3.0,0,,,-3.16,0.54,1.01,0.51,53,D14,,,0,,,,0,
Pismis 2,8,17,54,-,41,40,0,,4.0,3310,0.05,9.06,-5.72,0.38,0.89,0.45,42,D14,-49.0,8.0,9,FJ02,-0.07,0.23,9,
Pismis 1,8,18,18,-,37,6,0,,3.0,5907,0.578,7.928,-4.84,0.62,-0.72,0.43,77,D14,,,0,,,,0,
