map,cmd,stars,MWSC,Name,Type,RAJ2000,DEJ2000,r0,r1,r2,pmRA,pmDE,RV,d,E(B-V),logt,rc,rt,k,SType,[Fe/H],Simbad
map,cmd,stars,2227,FSR_1690,r,218.083,-53.7,0.02,0.075,0.12,-8.2,0.64,,1850.0,0.666,9.135,1.4,7.25,6.08,,,Simbad
map,cmd,stars,2228,IC_1023,r,218.085,-35.82,0.025,0.085,0.135,2.48,-0.34,,1298.0,0.104,9.48,1.12,6.07,4.43,ast,,Simbad
map,cmd,stars,2229,Turner_7,,218.062,-56.895,0.02,0.075,0.115,-9.17,-2.01,,6955.0,1.208,9.0,2.91,22.46,0.36,,,Simbad
map,cmd,stars,2230,Loden_1339,,218.371,-62.017,0.012,0.055,0.095,-7.42,-1.3,,1278.0,0.833,8.09,0.57,4.86,11.1,,,Simbad
map,cmd,stars,2231,FSR_1695,r,218.409,-49.165,0.018,0.07,0.115,-4.05,-0.68,,1667.0,0.281,9.38,0.88,7.5,2.5,,,Simbad
map,cmd,stars,2232,Hogg_17,,218.497,-61.347,0.018,0.07,0.125,-2.82,-4.48,,1148.0,0.625,8.15,1.0,3.33,2.49,,,Simbad
map,cmd,stars,2233,FSR_1688,,218.655,-56.115,0.025,0.075,0.115,-5.36,-2.45,,1469.0,0.822,8.455,0.68,3.81,18.84,irc,,Simbad
map,cmd,stars,2234,NGC_5662,a,218.895,-56.615,0.025,0.135,0.245,-5.15,-6.17,-23.2,625.0,0.375,8.275,0.7,4.44,8.61,,,Simbad
map,cmd,stars,2235,Ruprecht_111,,219.0,-59.98,0.03,0.09,0.14,0.29,-1.22,,1560.0,0.729,8.92,1.34,7.06,22.43,,,Simbad
map,cmd,stars,2236,ESO_447-29,r,219.337,-29.395,0.025,0.09,0.15,-6.3,0.53,,1634.0,0.104,9.5,0.78,5.75,3.9,,,Simbad
map,cmd,stars,2237,FSR_1699,r,219.915,-44.07,0.025,0.1,0.155,-4.54,-2.65,,1953.0,0.146,9.6,1.49,9.03,6.05,,,Simbad
map,cmd,stars,2238,NGC_5694,g,219.901,-26.539,0.018,0.055,0.095,-4.3,-3.78,-140.3,34992.0,0.094,10.1,3.09,102.45,0.36,glo,-1.98,Simbad
map,cmd,stars,2240,Alessi_6,,220.132,-66.12,0.02,0.235,0.39,-8.2,-5.9,9.2,613.0,0.189,8.32,1.31,8.67,13.53,,-0.154,Simbad
map,cmd,stars,2241,FSR_1686,,220.071,-60.372,0.02,0.07,0.115,-2.62,-4.64,,5405.0,1.666,8.5,2.05,20.87,3.56,,,Simbad
map,cmd,stars,2243,Loden_1373,,220.395,-62.89,0.025,0.115,0.17,-5.57,0.1,,3412.0,1.041,7.95,1.75,17.68,0.44,dub,,Simbad
map,cmd,stars,2244,DBSB_137,n,220.509,-60.51,0.01,0.035,0.055,0.7,2.18,-58.6,5276.0,1.208,6.0,1.91,6.92,2.76,irc,,Simbad
map,cmd,stars,2245,NGC_5715,,220.875,-57.567,0.015,0.06,0.115,-3.66,-0.42,,1490.0,0.468,8.97,0.64,6.98,18.08,,,Simbad
map,cmd,stars,2246,Loden_1375,,221.085,-63.405,0.012,0.085,0.145,-6.87,-0.08,,1819.0,0.625,7.9,0.25,8.55,9.46,,,Simbad
map,cmd,stars,2247,FSR_1678,,221.145,-64.74,0.02,0.095,0.14,-6.88,0.2,,1791.0,0.573,9.0,0.47,8.56,6.06,,,Simbad
map,cmd,stars,2248,ESO_134-12,,221.197,-59.142,0.012,0.065,0.11,-5.35,0.65,,2088.0,0.937,8.9,0.58,8.79,19.4,,,Simbad
map,cmd,stars,2249,Loden_1409,,221.167,-61.715,0.035,0.15,0.26,-7.0,-4.5,-33.8,2088.0,0.937,8.0,3.85,13.23,0.98,,,Simbad
map,cmd,stars,2250,DBSB_89,,221.257,-59.833,0.01,0.035,0.065,-2.59,1.5,,4069.0,1.562,6.0,0.68,9.79,7.52,irc,,Simbad
map,cmd,stars,2251,Cir_OB1,a,221.25,-62.925,0.04,0.24,0.35,-11.07,-0.67,-10.0,1783.0,2.311,6.8,3.35,20.49,0.3,ass,,Simbad
map,cmd,stars,2254,FSR_1689,,221.722,-59.487,0.01,0.06,0.12,-6.01,5.78,,2282.0,0.833,9.275,0.56,7.78,12.73,,,Simbad
