recno	ID	NameLit	SourceCat	TypeSourceCat	Sep	SepTidal	SepTidalLit	SepTidalData	pmRASep	pmRASigma	pmDESep	pmDESigma	PlxSep	PlxSigma	maxSigma	meanSigma
216	19	ASCC_30	Cantat-Gaudin+20	gaia_dr2	0.03797	0.0703196	0.0703196	0.07488138	0.01576	0.0	0.01433	0.0	0.01705	0.0	0.0	0.0
217	19	ASCC_30	Dias+02	position	0.01281	0.02526597	0.04927867	0.02526597								
218	19	ASCC_30	Kharchenko+13	hipparcos	0.0198	0.03904471	0.13199799	0.03904471	0.8208	0.19041901	0.1467	0.02388	0.2854	1.72	1.72	0.6446
219	19	ASCC_30	Kharchenko+13	position	0.0198	0.03904471	0.13199799	0.03904471								
220		ASCC_31	Kharchenko+13	position,hipparcos												
221		ASCC_31	Bica+18	position												
222		ASCC_31	Dias+02	position												
223	84	ASCC_32	Kharchenko+13	position	0.2555	0.31896712	0.78600532	0.31896712								
224	84	ASCC_32	Cantat-Gaudin+20	gaia_dr2	0.1466	0.11175911	0.11175911	0.18308545	0.08928	0.21680282	0.01127	0.0	0.02538	0.0	0.217	0.07227
225	84	ASCC_32	Kharchenko+13	hipparcos	0.2555	0.31896712	0.78600532	0.31896712	0.8877	0.23035677	0.7617	0.1957	0.0194	0.0	0.23	0.142
226	20	ASCC_33	Dias+02	position	0.6869	0.23347082	0.76326039	0.23347082								
227	20	ASCC_33	Bica+18	position	0.6869	0.23347082	0.76326039	0.23347082								
228		ASCC_34	Dias+02	position												
229		ASCC_34	Kharchenko+13	position,hipparcos												
230		ASCC_34	Bica+18	position												
231		ASCC_35	Bica+18	position												
232		ASCC_35	Kharchenko+13	position,hipparcos												
233		ASCC_35	Dias+02	position												
234	21	ASCC_36	Kharchenko+13	hipparcos	0.02249	0.05085021	0.08994762	0.05085021	0.5179	0.12978221	1.251	0.3331	0.1807	0.9522	0.952	0.4717
235	21	ASCC_36	Bica+18	position	0.02018	0.04562395	0.11004958	0.04562395								
236	21	ASCC_36	Dias+02	position	0.02018	0.04562395	0.11208754	0.04562395								
237	21	ASCC_36	Kharchenko+13	position	0.02249	0.05085021	0.08994762	0.05085021								
238		ASCC_37	Dias+02	position												
239		ASCC_37	Kharchenko+13	position,hipparcos												
240		ASCC_37	Bica+18	position												
241		ASCC_38	Dias+02	position												
242		ASCC_38	Kharchenko+13	position,hipparcos												
243		ASCC_38	Bica+18	position												
244		ASCC_39	Dias+02	position												
245		ASCC_39	Kharchenko+13	position,hipparcos												
246		ASCC_39	Bica+18	position												
247		ASCC_4	Kharchenko+13	position,hipparcos												
248		ASCC_4	Bica+18	position												
249		ASCC_4	Dias+02	position												
250		ASCC_40	Bica+18	position												
251		ASCC_40	Kharchenko+13	position,hipparcos												
252		ASCC_40	Dias+02	position												
253	4268	ASCC_41	Kharchenko+13	position	0.06821	0.02652663	0.26235751	0.02652663								
254	4268	ASCC_41	Cantat-Gaudin+20	gaia_dr2	0.06871	0.02671934	0.05059537	0.02671934	0.02318	0.0	0.0196	0.0	0.02661	0.0	0.0	0.0
255	111	ASCC_42	Kharchenko+13	hipparcos	0.08777	0.05264104	0.41794112	0.05264104	1.668	0.30631512	0.7353	0.1298	0.193	1.017	1.02	0.4842
256	111	ASCC_42	Kharchenko+13	position	0.08777	0.05264104	0.41794112	0.05264104								
257	5326	ASCC_43	Dias+02	position	0.2157	0.6161893	0.6161893	0.86125647								
258	5326	ASCC_43	Kharchenko+13	position	0.2099	0.83816348	0.99944555	0.83816348								
259		ASCC_44	Kharchenko+13	position,hipparcos												
260	5505	ASCC_45	Bica+18	position	0.08139	0.10319959	0.40696269	0.10319959								
261	22	ASCC_45	Dias+02	position	0.1517	0.29549443	0.75843611	0.29549443								
262	5505	ASCC_45	Dias+02	position	0.08139	0.10319959	0.40696269	0.10319959								
263	22	ASCC_45	Bica+18	position	0.1517	0.29549443	0.75843611	0.29549443								
264		ASCC_46	Bica+18	position												
265		ASCC_46	Kharchenko+13	position,hipparcos												
266		ASCC_46	Dias+02	position												
267		ASCC_47	Kharchenko+13	position,hipparcos												
268		ASCC_48	Dias+02	position												
269		ASCC_48	Bica+18	position												
270		ASCC_48	Kharchenko+13	position,hipparcos												
271	5401	ASCC_49	Kharchenko+13	position	0.2252	0.11494419	0.83419885	0.11494419								
272	5401	ASCC_49	Kharchenko+13	hipparcos	0.2252	0.11494419	0.83419885	0.11494419	1.479	0.3117297	0.2575	0.04525	0.03511	0.0	0.312	0.119
273	3	ASCC_5	Dias+02	position	0.01668	0.07178619	0.12827172	0.07178619								
274	3	ASCC_5	Bica+18	position	0.01668	0.07178619	0.12506493	0.07178619								
275	3	ASCC_5	Kharchenko+13	position	0.04338	0.18675919	0.22832934	0.18675919								
276	89	ASCC_50	Kharchenko+13	hipparcos	0.03077	0.02484522	0.12307699	0.02484522	1.001	0.23129748	0.9563	0.2205	0.09251	0.3228	0.323	0.2582
277	89	ASCC_50	Kharchenko+13	position	0.03077	0.02484522	0.12307699	0.02484522								
278	23	ASCC_51	Kharchenko+13	position	0.3447	0.08083444	0.76589383	0.08083444								
279	23	ASCC_51	Bica+18	position	0.3513	0.08240427	0.53368933	0.08240427								
280	23	ASCC_51	Dias+02	position	0.3513	0.08240427	0.53234163	0.08240427								
