ID,NameLit,SourceCat,TypeSourceCat,Sep,SepTidal,SepTidalLit,SepTidalData,pmRASep,pmRASigma,pmDESep,pmDESigma,PlxSep,PlxSigma,maxSigma,meanSigma
18,ASCC_29,Kharchenko+13,hipparcos,0.02261,0.04258634,0.10768152,0.04258634,0.8138,0.1916884,1.121,0.2687,0.2041,1.142,1.14,0.5341
18,ASCC_29,Kharchenko+13,position,0.02261,0.04258634,0.10768152,0.04258634,,,,,,,,
0,ASCC_3,Bica+18,position,,,,,,,,,,,,
0,ASCC_3,Dias+02,position,,,,,,,,,,,,
19,ASCC_30,Cantat-Gaudin+20,gaia_dr2,0.03797,0.0703196,0.0703196,0.07488138,0.01576,0.0,0.01433,0.0,0.01705,0.0,0.0,0.0
19,ASCC_30,Dias+02,position,0.01281,0.02526597,0.04927867,0.02526597,,,,,,,,
19,ASCC_30,Kharchenko+13,hipparcos,0.0198,0.03904471,0.13199799,0.03904471,0.8208,0.19041901,0.1467,0.02388,0.2854,1.72,1.72,0.6446
19,ASCC_30,Kharchenko+13,position,0.0198,0.03904471,0.13199799,0.03904471,,,,,,,,
0,ASCC_31,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_31,Bica+18,position,,,,,,,,,,,,
0,ASCC_31,Dias+02,position,,,,,,,,,,,,
84,ASCC_32,Kharchenko+13,position,0.2555,0.31896712,0.78600532,0.31896712,,,,,,,,
84,ASCC_32,Cantat-Gaudin+20,gaia_dr2,0.1466,0.11175911,0.11175911,0.18308545,0.08928,0.21680282,0.01127,0.0,0.02538,0.0,0.217,0.07227
84,ASCC_32,Kharchenko+13,hipparcos,0.2555,0.31896712,0.78600532,0.31896712,0.8877,0.23035677,0.7617,0.1957,0.0194,0.0,0.23,0.142
20,ASCC_33,Dias+02,position,0.6869,0.23347082,0.76326039,0.23347082,,,,,,,,
20,ASCC_33,Bica+18,position,0.6869,0.23347082,0.76326039,0.23347082,,,,,,,,
0,ASCC_34,Dias+02,position,,,,,,,,,,,,
0,ASCC_34,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
